"","Country","Time","Income","WorkHour"
"1","Australia",2001,51178,43.9082922100564
"2","Australia",2002,51579,43.7837597011666
"3","Australia",2003,52135,43.746350949872
"4","Australia",2004,53746,43.5784049196703
"5","Australia",2005,54446,43.4929567104946
"6","Australia",2006,54778,43.2766330361101
"7","Australia",2007,56333,43.3076983381776
"8","Australia",2008,56765,43.2698480784116
"9","Australia",2009,56257,43.0491233808853
"10","Australia",2010,58028,42.9746533542458
"11","Australia",2011,59768,42.9282323606308
"12","Australia",2012,60286,42.9285861878552
"13","Australia",2013,59866,42.8394199657709
"14","Australia",2014,60047,42.6035247090997
"15","Austria",2000,41198,41.1709747273489
"16","Austria",2001,41078,41.0749935322808
"17","Austria",2002,41712,40.9465468355065
"18","Austria",2003,41829,40.9194789748904
"19","Austria",2004,42595,43.534184784847
"20","Austria",2005,42791,43.4792031085516
"21","Austria",2006,43411,43.4705972304743
"22","Austria",2007,43630,43.3805922263557
"23","Austria",2008,44387,43.0866780491222
"24","Austria",2009,45069,42.8395312169613
"25","Austria",2010,44883,42.6634557957076
"26","Austria",2011,44391,42.5526181670765
"27","Austria",2012,44643,42.4120338230402
"28","Austria",2013,44689,42.0797937076752
"29","Austria",2014,44794,41.9318727966235
"30","Belgium",2000,45362,41.4008684034117
"31","Belgium",2001,45610,41.1144489699659
"32","Belgium",2002,46378,41.3257157970544
"33","Belgium",2003,46565,41.1566565086387
"34","Belgium",2004,46336,40.9218513229007
"35","Belgium",2005,46048,40.9892291777619
"36","Belgium",2006,46237,40.6771721392861
"37","Belgium",2007,46025,40.8832812672723
"38","Belgium",2008,46169,40.5365080709026
"39","Belgium",2009,46563,40.5384792793697
"40","Belgium",2010,46293,40.7025646864781
"41","Belgium",2011,46705,40.7783957500266
"42","Belgium",2012,47068,40.8215315385875
"43","Belgium",2013,47414,41.0554365930972
"44","Belgium",2014,47580,40.8965719939506
"45","Czech Republic",2002,9827,42.4842289003199
"46","Czech Republic",2003,10568,42.7929802117197
"47","Czech Republic",2005,11415,42.5314863100161
"48","Czech Republic",2006,11866,42.5024779224796
"49","Czech Republic",2007,12216,42.5268703994288
"50","Czech Republic",2008,12221,42.5096734986837
"51","Czech Republic",2009,12190,42.3383533530902
"52","Czech Republic",2010,12473,42.2265347210364
"53","Czech Republic",2011,12586,41.9980049824502
"54","Czech Republic",2012,12577,41.8847245383492
"55","Czech Republic",2013,12439,41.6658565200139
"56","Czech Republic",2014,12520,41.512541302875
"57","Denmark",2000,51986,39.77040062149
"58","Denmark",2001,52377,39.7216685163648
"59","Denmark",2002,53580,39.7266174077901
"60","Denmark",2003,54916,39.7327503139876
"61","Denmark",2004,56177,39.6838927345234
"62","Denmark",2005,57155,39.8761492324043
"63","Denmark",2006,58163,39.7763340702543
"64","Denmark",2007,58851,38.3645811957844
"65","Denmark",2008,59660,38.3208289680535
"66","Denmark",2009,61102,38.177953074227
"67","Denmark",2010,61752,38.2090462297024
"68","Denmark",2011,61446,38.3334470997443
"69","Denmark",2012,61303,38.2688952978978
"70","Denmark",2013,61413,38.255666561914
"71","Denmark",2014,62441,38.2869698911396
"72","Finland",2001,38710,40.547022391615
"73","Finland",2002,38930,40.7285918854415
"74","Finland",2003,39679,40.6399903984638
"75","Finland",2004,41006,40.4735479396064
"76","Finland",2005,41951,40.9481707317073
"77","Finland",2006,42927,40.8989810097267
"78","Finland",2007,43581,40.2810550458716
"79","Finland",2008,44003,40.2761797752809
"80","Finland",2009,44358,40.2035469587509
"81","Finland",2010,45055,40.2422238918106
"82","Finland",2011,45210,40.2285814083457
"83","Finland",2012,45241,40.1512422071276
"84","Finland",2013,44755,39.980752799897
"85","Finland",2014,44823,40.0441214734232
"86","France",2000,34261,40.1754174355378
"87","France",2001,34487,39.6332286133979
"88","France",2002,35416,39.0031251719424
"89","France",2003,35710,40.7948316309778
"90","France",2004,36294,40.7681243177277
"91","France",2005,36730,40.8668962095309
"92","France",2006,37136,40.9376724673668
"93","France",2007,37290,40.9238760783971
"94","France",2008,37219,40.8860126526546
"95","France",2009,38357,40.8965866291077
"96","France",2010,39121,40.9627158034685
"97","France",2011,39051,40.9744726356532
"98","France",2012,39308,40.8893220388595
"99","France",2013,39490,40.5178849722554
"100","France",2014,39917,40.3279249066874
"101","Germany",2000,37746,41.5037416822833
"102","Germany",2001,38123,41.3002077029917
"103","Germany",2002,38323,41.1702572455328
"104","Germany",2003,38273,40.7338925056422
"105","Germany",2004,38271,41.0424081785674
"106","Germany",2005,38204,41.1627233892625
"107","Germany",2006,38235,41.1652309777859
"108","Germany",2007,38169,41.0952025036223
"109","Germany",2008,38411,41.12548860357
"110","Germany",2009,38563,41.2198660983146
"111","Germany",2010,38719,41.158461127307
"112","Germany",2011,39397,41.1993909627408
"113","Germany",2012,39821,41.177107504663
"114","Germany",2013,40224,40.98339548261
"115","Germany",2014,40802,40.8496781230698
"116","Greece",2000,19934,44.5312469307158
"117","Greece",2001,20334,44.4347083862313
"118","Greece",2002,22223,44.5306413261033
"119","Greece",2003,23188,44.6963079659571
"120","Greece",2004,23604,44.4990509388578
"121","Greece",2005,23533,44.5813196624973
"122","Greece",2006,23815,44.5148986734993
"123","Greece",2007,23809,44.2950349526977
"124","Greece",2008,23451,44.3310409610904
"125","Greece",2009,24552,44.5282266730426
"126","Greece",2010,22917,44.4147759460599
"127","Greece",2011,21413,44.3091386725896
"128","Greece",2012,20443,44.4110737980694
"129","Greece",2013,19257,44.6538786653153
"130","Greece",2014,19397,44.7690620937535
"131","Hungary",2000,8310,41.8821683461888
"132","Hungary",2001,8902,41.4783287648807
"133","Hungary",2002,9364,41.4178152555306
"134","Hungary",2003,10218,41.4165616211235
"135","Hungary",2004,10701,41.2243025834174
"136","Hungary",2005,11098,41.0333634035356
"137","Hungary",2006,11311,40.9546694298432
"138","Hungary",2007,11168,40.8981146336774
"139","Hungary",2008,11308,40.8428466871792
"140","Hungary",2009,10906,40.7028308333076
"141","Hungary",2010,10839,40.626257952824
"142","Hungary",2011,10809,40.6001319551249
"143","Hungary",2012,10467,40.5477637532473
"144","Hungary",2013,10456,40.5941504936505
"145","Hungary",2014,10351,40.7346999341804
"146","Ireland",2000,42670,42.3920464968236
"147","Ireland",2001,43933,42.0168170320389
"148","Ireland",2002,43946,41.770044666848
"149","Ireland",2003,45256,41.4941781426958
"150","Ireland",2004,46758,41.3088082618049
"151","Ireland",2005,48695,41.2208632162647
"152","Ireland",2006,49400,40.8955837450961
"153","Ireland",2007,50748,40.8058593149229
"154","Ireland",2008,52189,40.6533080376926
"155","Ireland",2009,56183,40.4106891566836
"156","Ireland",2010,55219,40.4090792957476
"157","Ireland",2011,54864,40.5262068179139
"158","Ireland",2012,54530,40.5225353844077
"159","Ireland",2013,52810,40.713328324633
"160","Ireland",2014,52333,40.8227451885235
"161","Italy",2000,31493,41.9676167234819
"162","Italy",2001,31648,41.855727744904
"163","Italy",2002,31433,41.7450629315685
"164","Italy",2003,31401,41.7667837696745
"165","Italy",2004,32040,42.0733765413472
"166","Italy",2005,32406,41.8512361053187
"167","Italy",2006,32631,41.8096518151676
"168","Italy",2007,32597,41.779851121742
"169","Italy",2008,32633,41.7493624647943
"170","Italy",2009,32794,41.4263828403738
"171","Italy",2010,33107,41.3301868192521
"172","Italy",2011,32593,41.0535204263275
"173","Italy",2012,31611,40.8434194183184
"174","Italy",2013,31656,40.9433512229913
"175","Italy",2014,31807,41.0230327142592
"176","Korea",2000,24105,53.5650111569896
"177","Korea",2001,24666,53.5607307122731
"178","Korea",2002,25462,52.9833759136512
"179","Korea",2003,26371,52.402113023843
"180","Korea",2004,27008,52.231910634916
"181","Korea",2005,27905,51.7952862166341
"182","Korea",2006,28359,51.4974594179233
"183","Korea",2007,29037,50.5854179522476
"184","Korea",2008,28827,49.5779907939069
"185","Korea",2009,28780,49.7332053742802
"186","Korea",2010,29240,49.2081688299294
"187","Korea",2011,29598,48.6773206781767
"188","Korea",2012,29188,48.4977567529125
"189","Korea",2013,29615,47.0366760992927
"190","Korea",2014,29637,47.7038694300934
"191","Luxembourg",2000,57764,41.268250473234
"192","Luxembourg",2001,58422,41.0887350273974
"193","Luxembourg",2002,59599,40.6571166338818
"194","Luxembourg",2003,59477,41.0562225780863
"195","Luxembourg",2004,60292,40.5953895068864
"196","Luxembourg",2005,60689,40.5155293037802
"197","Luxembourg",2006,61532,39.9371738643843
"198","Luxembourg",2007,63175,39.432620498444
"199","Luxembourg",2008,63383,39.492754834465
"200","Luxembourg",2009,64384,40.9015992727736
"201","Luxembourg",2010,65120,40.6948613238956
"202","Luxembourg",2011,64487,40.5205526097898
"203","Luxembourg",2012,64073,40.6364439082573
"204","Luxembourg",2013,65456,40.5432772119405
"205","Luxembourg",2014,66775,40.767719473121
"206","Netherlands",2000,45789,39.6663458320291
"207","Netherlands",2001,46404,39.5865159088449
"208","Netherlands",2002,46695,39.3249578484371
"209","Netherlands",2003,47206,39.1728019991486
"210","Netherlands",2004,47869,39.1788871515664
"211","Netherlands",2005,48040,39.2670240884149
"212","Netherlands",2006,48004,39.3354639035626
"213","Netherlands",2007,48543,39.338557553392
"214","Netherlands",2008,48833,39.2262460657839
"215","Netherlands",2009,50732,39.1720373012514
"216","Netherlands",2010,51000,39.295321443614
"217","Netherlands",2011,50686,39.1504877226289
"218","Netherlands",2012,50806,39.0820026135036
"219","Netherlands",2013,50891,38.9808147177082
"220","Netherlands",2014,50465,39.1218632019452
"221","Norway",2000,45582,39.0730598669623
"222","Norway",2001,46737,39.0317100166021
"223","Norway",2002,48577,39.0686111111111
"224","Norway",2003,49195,38.9971299943725
"225","Norway",2004,50793,38.8130972456436
"226","Norway",2005,52209,38.8687233612515
"227","Norway",2006,54252,39.0136589972574
"228","Norway",2007,56577,38.8923066876867
"229","Norway",2008,57899,38.8441807180452
"230","Norway",2009,58474,38.7884826171794
"231","Norway",2010,59249,38.6357563241092
"232","Norway",2011,61233,38.6343595376379
"233","Norway",2012,62896,38.738853112453
"234","Norway",2013,64185,38.6422291095475
"235","Norway",2014,64662,38.7555358106188
"236","Poland",2000,9865,43.7876373626374
"237","Poland",2001,10424,43.8854728626608
"238","Poland",2002,10387,43.9441624073496
"239","Poland",2003,10515,43.9592865265063
"240","Poland",2004,10328,43.9822780845628
"241","Poland",2005,10271,43.9263867933614
"242","Poland",2006,10346,43.6269793684469
"243","Poland",2007,10585,43.513572950413
"244","Poland",2008,11221,43.2260749462876
"245","Poland",2009,11196,42.8390117017166
"246","Poland",2010,11578,42.7009169569774
"247","Poland",2011,11578,42.5271547735876
"248","Poland",2012,11470,42.5966296916422
"249","Poland",2013,11606,42.5612884464205
"250","Poland",2014,11827,42.4372532216563
"251","Portugal",2000,19246,41.8748552370298
"252","Portugal",2001,19331,41.6395102867734
"253","Portugal",2002,19321,41.8357140503068
"254","Portugal",2003,19271,41.5652452460831
"255","Portugal",2004,19304,41.5071006114677
"256","Portugal",2005,19193,41.4761076234618
"257","Portugal",2006,18778,41.3327230288486
"258","Portugal",2007,18910,41.362648619825
"259","Portugal",2008,18849,41.4155771707394
"260","Portugal",2009,19719,41.2745953701123
"261","Portugal",2010,19644,41.2010560179012
"262","Portugal",2011,19177,42.2961504480443
"263","Portugal",2012,18348,42.5336810144379
"264","Portugal",2013,18725,42.6670422973482
"265","Portugal",2014,18344,42.743886687299
"266","Slovak Republic",2000,9442,42.944760265552
"267","Slovak Republic",2001,9436,42.6409011373578
"268","Slovak Republic",2002,9932,41.8672189291614
"269","Slovak Republic",2003,10148,40.935812975092
"270","Slovak Republic",2004,10315,41.1463477636929
"271","Slovak Republic",2005,10985,41.4280638852673
"272","Slovak Republic",2006,11348,41.5272894100797
"273","Slovak Republic",2007,12046,41.5288913138368
"274","Slovak Republic",2008,12166,41.5176830044558
"275","Slovak Republic",2009,12576,41.4122575843803
"276","Slovak Republic",2010,13130,41.4010648858406
"277","Slovak Republic",2011,13013,41.5075632066016
"278","Slovak Republic",2012,12870,41.6301856951425
"279","Slovak Republic",2013,12967,41.7112294985323
"280","Slovak Republic",2014,13219,41.6034256435162
"281","Spain",2000,28755,42.0206864305827
"282","Spain",2001,28748,41.8964782504061
"283","Spain",2002,28960,41.7127215446528
"284","Spain",2003,28882,41.5545269119746
"285","Spain",2004,28585,41.5829061306087
"286","Spain",2005,28750,42.0896920207967
"287","Spain",2006,28641,41.984491866898
"288","Spain",2007,29016,41.8267956990014
"289","Spain",2008,30184,41.7192077223735
"290","Spain",2009,32229,41.6039792964782
"291","Spain",2010,31676,41.5544102546297
"292","Spain",2011,31227,41.4250074193539
"293","Spain",2012,30255,41.4123417226844
"294","Spain",2013,30524,41.5580209265266
"295","Spain",2014,30232,41.4389925897287
"296","Sweden",2002,37105,39.9241574880815
"297","Sweden",2003,37567,39.846888595187
"298","Sweden",2004,38705,39.8353287591322
"299","Sweden",2005,39461,39.8178843671445
"300","Sweden",2006,40415,39.7510743228833
"301","Sweden",2007,41721,39.759876072892
"302","Sweden",2008,42296,39.7032599868915
"303","Sweden",2009,42575,39.6918280369545
"304","Sweden",2010,42826,39.7117133186998
"305","Sweden",2011,43365,39.6747198586401
"306","Sweden",2012,44329,39.7126318696077
"307","Sweden",2013,44791,39.6972383594575
"308","Sweden",2014,45366,39.6792018039672
"309","Switzerland",2000,76511,42.7849144425418
"310","Switzerland",2001,79330,42.8378718461384
"311","Switzerland",2002,80349,42.6735392951001
"312","Switzerland",2003,80490,42.4705983224996
"313","Switzerland",2004,79610,42.3188551477825
"314","Switzerland",2005,80754,42.3988636537459
"315","Switzerland",2006,81354,42.3182598430408
"316","Switzerland",2007,82495,42.3922863627184
"317","Switzerland",2008,82868,42.2891814718655
"318","Switzerland",2009,84511,42.2096901676832
"319","Switzerland",2010,84430,42.0447298177492
"320","Switzerland",2011,84848,41.9976946706902
"321","Switzerland",2012,86500,41.8948699048522
"322","Switzerland",2013,87724,41.8459009155765
"323","Switzerland",2014,88490,41.6135372102848
"324","United Kingdom",2000,47449,43.9798547762185
"325","United Kingdom",2001,49746,43.8552954359712
"326","United Kingdom",2002,50492,43.5694569407905
"327","United Kingdom",2003,51576,43.387563866263
"328","United Kingdom",2004,52496,43.1866798227653
"329","United Kingdom",2005,52261,42.9796363213258
"330","United Kingdom",2006,53533,42.8618739031805
"331","United Kingdom",2007,54797,42.8630298467312
"332","United Kingdom",2008,53221,42.7786585046041
"333","United Kingdom",2009,53633,42.6081696891144
"334","United Kingdom",2010,52253,42.6225606261607
"335","United Kingdom",2011,50933,42.6065119786094
"336","United Kingdom",2012,50731,42.63036009751
"337","United Kingdom",2013,50067,42.6636693826862
"338","United Kingdom",2014,49677,42.7337442928366
"339","Israel",2005,31410,45.7018557839098
"340","Israel",2006,32806,45.5616758276028
"341","Israel",2007,33439,45.8147501724722
"342","Israel",2008,32571,45.3571431819243
"343","Israel",2009,31787,44.9166294473232
"344","Israel",2010,31631,44.8561793662359
"345","Israel",2011,31906,44.7853958822573
"346","Israel",2012,32404,45.4743628291069
"347","Israel",2013,32724,45.0150781923725
"348","Israel",2014,32840,44.7472428001714
"349","Slovenia",2000,19101,42.9406314662162
"350","Slovenia",2001,19884,43.0248579637023
"351","Slovenia",2002,19878,42.7675169896301
"352","Slovenia",2003,20297,42.3812707491675
"353","Slovenia",2004,21279,42.7024132191771
"354","Slovenia",2005,22111,42.6715136532162
"355","Slovenia",2006,22825,42.3892858271936
"356","Slovenia",2007,23318,42.3734662700013
"357","Slovenia",2008,23669,42.3717201191003
"358","Slovenia",2009,23884,41.9308723020045
"359","Slovenia",2010,24601,41.7834180049895
"360","Slovenia",2011,24536,41.6458909467973
"361","Slovenia",2012,23846,41.7556718160692
"362","Slovenia",2013,23807,41.7369487430295
"363","Slovenia",2014,24134,41.7483016093452
"364","Estonia",2000,8294,42.1056917833316
"365","Estonia",2001,8578,41.8870229992205
"366","Estonia",2002,8977,41.5711270674455
"367","Estonia",2003,9827,41.5174681957879
"368","Estonia",2004,10555,41.324410678467
"369","Estonia",2005,11236,41.2258640921976
"370","Estonia",2006,12055,41.15042572575
"371","Estonia",2007,13938,41.0925353749706
"372","Estonia",2008,14043,40.8377744759233
"373","Estonia",2009,13473,40.58879384393
"374","Estonia",2010,13454,40.7057767910176
"375","Estonia",2011,12851,40.694764848916
"376","Estonia",2012,13204,40.7104558909413
"377","Estonia",2013,13447,40.6735951822069
"378","Estonia",2014,14292,40.6610891727292
"379","Mexico",2000,8264,48.4261264073162
"380","Mexico",2001,8706,48.0178318171934
"381","Mexico",2002,8804,47.598694872727
"382","Mexico",2003,9461,47.6926261221533
"383","Mexico",2004,9392,48.1614902067989
"384","Mexico",2005,9494,43.4397138783733
"385","Mexico",2006,9576,43.4747847709512
"386","Mexico",2007,9660,43.4214140103424
"387","Mexico",2008,9587,43.3802380628168
"388","Mexico",2009,9393,43.2907709529106
"389","Mexico",2010,8981,49.1797525817111
"390","Mexico",2011,9148,49.0290269543899
"391","Mexico",2012,9118,49.0250409446675
"392","Mexico",2013,9184,49.0905305630991
"393","Mexico",2014,9050,48.7796930670157
"394","OECD countries",2000,37149,44.0059928858668
"395","OECD countries",2001,37590,42.3181521020105
"396","OECD countries",2002,37716,42.1737020143004
"397","OECD countries",2003,38069,42.1113094175382
"398","OECD countries",2004,38576,42.1760695442096
"399","OECD countries",2005,38768,41.6940707660818
"400","OECD countries",2006,39090,41.6616895947063
"401","OECD countries",2007,39543,41.488392826441
"402","OECD countries",2008,39408,41.3420664541053
"403","OECD countries",2009,39616,41.220782503222
"404","OECD countries",2010,39534,41.8217910927616
"405","OECD countries",2011,39647,41.7598596774786
"406","OECD countries",2012,39700,41.7603995988516
"407","OECD countries",2013,39727,41.6272725424188
"408","OECD countries",2014,39978,41.6148798927686
"409","Iceland",2000,53840,48.4021487058748
"410","Iceland",2001,53411,47.8427689343693
"411","Iceland",2002,55168,47.1619427476344
"412","Iceland",2003,53763,45.9132013952078
"413","Iceland",2004,57233,45.7234735080528
"414","Iceland",2005,60717,46.0513727525487
"415","Iceland",2006,63064,46.2599689763603
"416","Iceland",2007,65118,46.2508288653848
"417","Iceland",2008,57656,45.5466643117699
"418","Iceland",2009,51373,44.2378623384691
"419","Iceland",2010,53740,44.0943601748912
"420","Iceland",2011,56228,44.3905924880465
"421","Iceland",2012,56349,44.2759584363274
"422","Iceland",2013,57863,44.5254290869167
"423","Iceland",2014,58127,44.4043776292568
"424","New Zealand",2000,34494,45.3360932558097
"425","New Zealand",2001,35123,45.0352472384207
"426","New Zealand",2002,35782,44.937506098574
"427","New Zealand",2003,37084,44.7686246712934
"428","New Zealand",2004,38394,44.4392616713857
"429","New Zealand",2005,39041,44.3107372208813
"430","New Zealand",2006,39292,44.0427675081128
"431","New Zealand",2007,41614,43.9394388629946
"432","New Zealand",2008,41173,43.9098551517118
"433","New Zealand",2009,41675,43.5882466810216
"434","New Zealand",2010,42251,43.5476211012669
"435","New Zealand",2011,42281,43.5459001470692
"436","New Zealand",2012,43125,43.3534674735926
"437","Latvia",2000,6551,44.0423888448344
"438","Latvia",2001,6775,44.5709556524082
"439","Latvia",2002,6559,44.1226821097085
"440","Latvia",2003,7049,43.7901644070236
"441","Latvia",2004,7640,42.9429969051652
"442","Latvia",2005,8883,42.6871852498358
"443","Latvia",2006,9807,42.6530273491242
"444","Latvia",2007,12099,41.9814740791979
"445","Latvia",2008,12494,41.4177554240447
"446","Latvia",2009,11267,40.9857399394068
"447","Latvia",2010,10825,40.5370192813485
"448","Latvia",2011,10441,40.5664162165667
"449","Latvia",2012,10864,40.4952196470309
"450","Latvia",2013,11391,40.4796897322008
"451","Latvia",2014,12278,40.4990549513395
